"","species","qtd"
"442","Xylopia sericea",0
"443","Xylopia spruceana",0
"444","Xylopia surinamensis",0
"445","Xylopia trichostemon",0
"446","Xylopia uniflora",0
"447","Xylopia xylantha",0
"448","Allamanda cathartica",0
"449","Allamanda doniana",0
"450","Allamanda nobilis",0
"451","Ambelania acida",0
"452","Ambelania duckei",0
"453","Ambelania occidentalis",0
"454","Aspidosperma album",0
"455","Aspidosperma araracanga",0
"456","Aspidosperma capitatum",0
"457","Aspidosperma carapanauba",1
"458","Aspidosperma cuspa",1
"459","Aspidosperma cylindrocarpon",0
"460","Aspidosperma darienense",0
"461","Aspidosperma decussatum",0
"462","Aspidosperma desmanthum",1
"463","Aspidosperma discolor",2
"464","Aspidosperma excelsum",2
"465","Aspidosperma helstonei",0
"466","Aspidosperma inundatum",0
"467","Aspidosperma macrophyllum",0
"468","Aspidosperma megalocarpon",0
"469","Aspidosperma multiflorum",0
"470","Aspidosperma myristicifolium",0
"471","Aspidosperma pachypterum",0
"472","Aspidosperma parvifolium",2
"473","Aspidosperma pichonianum",0
"474","Aspidosperma rigidum",2
"475","Aspidosperma schultesii",1
"476","Aspidosperma spruceanum",0
"477","Aspidosperma steyermarkii",0
"478","Aspidosperma subincanum",1
"479","Aspidosperma ulei",0
"480","Barjonia erecta",0
"481","Blepharodon amazonicum",0
"482","Blepharodon glaucescens",0
"483","Blepharodon pictum",0
"484","Blepharodon salicinum",0
"485","Condylocarpon amazonicum",0
"486","Condylocarpon guyanense",0
"487","Condylocarpon myrtifolium",0
"488","Couma catingae",0
"489","Couma guianensis",0
"490","Couma macrocarpa",0
"491","Couma rigida",0
"492","Couma utilis",2
"493","Cynanchum guanchezii",0
"494","Cynanchum montevidense",0
"495","Ditassa blanchetii",0
"496","Ditassa buntingii",0
"497","Ditassa franciscoi",0
"498","Ditassa gracilipes",0
"499","Ditassa hispida",0
"500","Ditassa pauciflora",0
"501","Ditassa poeppigii",0
"502","Ditassa sobradoi",0
"503","Ditassa tatei",0
"504","Ditassa taxifolia",0
"505","Fischeria stellata",0
"506","Forsteronia acouci",0
"507","Forsteronia affinis",0
"508","Forsteronia amazonica",0
"509","Forsteronia brevifolia",0
"510","Forsteronia duckei",0
"511","Forsteronia gracilis",0
"512","Forsteronia guyanensis",0
"513","Forsteronia laurifolia",0
"514","Forsteronia lucida",0
"515","Forsteronia tarapotensis",0
"516","Forsteronia umbellata",0
"517","Funastrum clausum",0
"518","Galactophora colellana",0
"519","Galactophora crassifolia",0
"520","Galactophora pulchella",0
"521","Geissospermum argenteum",1
"522","Geissospermum laeve",0
"523","Geissospermum reticulatum",2
"524","Geissospermum sericeum",0
"525","Geissospermum urceolatum",0
"526","Gonolobus parviflorus",0
"527","Gonolobus rostratus",0
"528","Hemipogon sprucei",0
"529","Himatanthus articulatus",9
"530","Himatanthus attenuatus",0
"531","Himatanthus drasticus",0
"532","Himatanthus obovatus",0
"533","Himatanthus phagedaenicus",0
"534","Himatanthus revolutus",0
"535","Himatanthus semilunatus",0
"536","Himatanthus tarapotensis",0
"537","Hylaea leptoloba",0
"538","Lacmellea aculeata",0
"539","Lacmellea arborescens",0
"540","Lacmellea densifoliata",0
"541","Lacmellea edulis",0
"542","Lacmellea floribunda",0
"543","Lacmellea foxii",0
"544","Lacmellea gracilis",1
"545","Lacmellea guyanensis",0
"546","Lacmellea klugii",0
"547","Lacmellea lactescens",0
"548","Lacmellea macrantha",0
"549","Lacmellea microcarpa",0
"550","Lacmellea oblongata",0
"551","Lacmellea peruviana",0
"552","Lacmellea ramosissima",0
"553","Lacmellea speciosa",0
"554","Lacmellea utilis",0
"555","Laxoplumeria baehniana",0
"556","Laxoplumeria macrophylla",0
"557","Laxoplumeria tessmannii",0
"558","Macoubea guianensis",0
"559","Macoubea sprucei",1
"560","Macropharynx spectabilis",0
"561","Malouetia amazonica",1
"562","Malouetia amplexicaulis",0
"563","Malouetia aquatica",0
"564","Malouetia bubalina",0
"565","Malouetia calva",0
"566","Malouetia cestroides",0
"567","Malouetia cuatrecasatis",0
"568","Malouetia duckei",0
"569","Malouetia gentryi",0
"570","Malouetia glandulifera",0
"571","Malouetia gracilis",0
"572","Malouetia gracillima",0
"573","Malouetia grandiflora",0
"574","Malouetia killipii",0
"575","Malouetia lata",0
"576","Malouetia naias",0
"577","Malouetia nitida",0
"578","Malouetia pubescens",0
"579","Malouetia pumila",0
"580","Malouetia quadricasarum",0
"581","Malouetia tamaquarina",1
"582","Malouetia virescens",0
"583","Mandevilla anceps",0
"584","Mandevilla antennacea",0
"585","Mandevilla hirsuta",0
"586","Mandevilla javitensis",0
"587","Mandevilla krukovii",0
"588","Mandevilla lancifolia",0
"589","Mandevilla pavonii",0
"590","Mandevilla rugellosa",0
"591","Mandevilla rugosa",0
"592","Mandevilla scaberula",0
"593","Mandevilla scabra",0
"594","Mandevilla steyermarkii",0
"595","Mandevilla subcarnosa",0
"596","Mandevilla thevetioides",0
"597","Mandevilla vanheurckii",0
"598","Marsdenia amylacea",0
"599","Marsdenia bergii",0
"600","Marsdenia hilariana",0
"601","Marsdenia macrophylla",0
"602","Marsdenia riparia",0
"603","Marsdenia rubrofusca",0
"604","Marsdenia sprucei",0
"605","Matelea amazonica",0
"606","Matelea badilloi",0
"607","Matelea brasiliensis",0
"608","Matelea denticulata",0
"609","Matelea fontellana",0
"610","Matelea graciliflora",0
"611","Matelea lourteigiae",0
"612","Matelea macrocarpa",0
"613","Matelea maritima",0
"614","Matelea orthosioides",0
"615","Matelea palustris",0
"616","Matelea quindecimlobata",0
"617","Matelea stenopetala",0
"618","Matelea trichopedicellata",0
"619","Matelea vaupesana",0
"620","Matelea viridis",0
"621","Mesechites trifidus",0
"622","Metalepis albiflora",0
"623","Metastelma ditassoides",0
"624","Metastelma parviflorum",0
