Authors;Title;Year;Affiliations;Author Keywords
FRANCO T.D.S., BESSA A.D.Q.;Despertando o gosto pela leitura na educação básica brasileira: o papel do bibliotecário e do professor;2015;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Incentivo à leitura; Educação básica; Biblioteca escolar; Ensino-aprendizagem"
FERREIRA FILHO J.M., TERRA G.D.M.;Biblioteca pública como fator de integração da população ribeirinha com os portos públicos do Amazonas;2016;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Bibliotecas públicas; Ribeirinhos da Amazônia; Portos públicos da Amazônia"
COIMBRA M.R., CAVALCANTE K.V.;Biblioteconomia e informática: interação e ensino;2016;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteconomia; Informática; Universidade Federal do Amazonas- UFAM; Ensino; Competências"
ALMEIDA M.D.S., BORGES V.J.;Formação bibliotecário e a atuação profissional na biblioteca universitária;2017;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Formação do bibliotecário; Atuação profissional; Biblioteca universitária"
SABÓIA N.L.G., MARQUEZ S.O.M.;Mediadores da leitura: o papel do bibliotecário e do professor;2017;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Leitura; Bibliotecário; Professor"
SANTOS A.L.G.D., BORGES V.J.;Indexação e resumos: o tratamento da informação audiovisual no centro de documentação;2017;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Indexação; Resumos; Informação audiovisual; Centro de documentação"
LIMA R.S., BARBALHO C.R.S.;Ambiente das bibliotecas universitárias e os princípios ergonômicos;2017;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Ergonomia; Percepção - trabalhadores; Satisfação no trabalho; Qualidade de vida no trabalho; Ambiente de bibliotecas"
ALMEIDA J.P., LIMA R.M.D.;Comportamento de busca e recuperação da informação dos discentes do curso de Biblioteconomia durante a elaboração de seus TCC;2018;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Estudo do usuário; Comportamento informacional; Fontes de informação; Biblioteca universitária"
SILVA W.K.P.D., SOUZA C.D.M.D.;O programa de comutação bibliográfica na biblioteca especializada em saúde da Fundação Alfredo da Matta;2018;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Programa de comutação bibliográfica; Fundação Alfredo da Matta; Biblioteca especializada em saúde; Serviços de bibliotecas influenciados pela internet"
TRINDADE K.B., BARBALHO C.R.S.;Satisfação no trabalho do bibliotecário gestor na Universidade do Estado do Amazonas;2018;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Satisfação no trabalho; Bibliotecário gestor; Biblioteca universitária; Biblioteconomia"
ANDRADE A.S.D., CAVALCANTE K.V.;Marketing de relacionamento: ferramentas e ações aplicáveis para a fidelização de clienmtes;2018;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Marketing; Mercado editorial; Biblioteca escolar"
LIMA K.C.D.S.L.D., LIMA R.M.D.;Aplicação do conceito de mediação à estruturação e ao funcionamento da Biblioteca Pública do Amazonas;2018;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca pública; Mediação implícita; Mediação explícita; Estruturação"
